Date,Year,Month,HistAvgFlow,adjusted_historical
1944-10-01,1944,10,3.630000114440918,3.6298586576008276
1944-11-01,1944,11,7.820000171661377,8.739751570675578
1944-12-01,1944,12,10.960000038146973,18.2332157011207
1945-01-01,1945,1,6.46999979019165,10.16329409538648
1945-02-01,1945,2,32.189998626708984,32.51095685378742
1945-03-01,1945,3,13.5600004196167,13.675250364274723
1945-04-01,1945,4,14.84000015258789,15.690575031685078
1945-05-01,1945,5,17.510000228881836,16.92757038468275
1945-06-01,1945,6,7.239999771118164,7.417181096781337
1945-07-01,1945,7,3.930000066757202,4.099114713180085
1945-08-01,1945,8,4.019999980926514,4.253847343315624
1945-09-01,1945,9,3.5199999809265137,3.7774220398489993
1945-10-01,1945,10,4.309999942779541,4.3098319871449755
1945-11-01,1945,11,6.880000114440918,7.783892362718625
1945-12-01,1945,12,38.400001525878906,51.929427408988474
1946-01-01,1946,1,16.469999313354492,19.623511749365022
1946-02-01,1946,2,8.420000076293945,12.628244827470363
1946-03-01,1946,3,11.09000015258789,11.58675634038717
1946-04-01,1946,4,16.0,16.8039234312362
1946-05-01,1946,5,13.579999923706055,13.487080716853653
1946-06-01,1946,6,4.869999885559082,4.997835538213481
1946-07-01,1946,7,3.569999933242798,3.723623156190537
1946-08-01,1946,8,4.190000057220459,4.433736491658303
1946-09-01,1946,9,3.3499999046325684,3.594989642562527
1946-10-01,1946,10,2.859999895095825,2.8598884442597194
1946-11-01,1946,11,6.840000152587891,7.742428641281459
1946-12-01,1946,12,6.980000019073486,8.800547456600423
1947-01-01,1947,1,3.4600000381469727,4.958542764841617
1947-02-01,1947,2,12.789999961853027,12.887111514720948
1947-03-01,1947,3,18.81999969482422,18.91937104233936
1947-04-01,1947,4,13.930000305175781,14.789745676085108
1947-05-01,1947,5,5.449999809265137,5.53064901846058
1947-06-01,1947,6,4.889999866485596,5.0183605110650245
1947-07-01,1947,7,3.799999952316284,3.963520470745487
1947-08-01,1947,8,3.630000114440918,3.8411608000781694
1947-09-01,1947,9,2.9700000286102295,3.1871998940952992
1947-10-01,1947,10,6.0,6.0106076385189695
1947-11-01,1947,11,5.0,5.7310363425803335
1947-12-01,1947,12,3.009999990463257,3.767838147652298
1948-01-01,1948,1,18.200000762939453,19.80366850709558
1948-02-01,1948,2,5.019999980926514,7.364545700134259
1948-03-01,1948,3,13.6899995803833,13.813316388015126
1948-04-01,1948,4,35.04999923706055,36.417740268187956
1948-05-01,1948,5,30.200000762939453,29.194528036254443
1948-06-01,1948,6,18.200000762939453,18.11758411581173
1948-07-01,1948,7,5.190000057220459,5.413334665287223
1948-08-01,1948,8,3.930000066757202,4.158612045404125
1948-09-01,1948,9,3.799999952316284,4.077898763944439
1948-10-01,1948,10,2.9000000953674316,2.8998870857705117
1948-11-01,1948,11,3.1600000858306885,3.6220150668905298
1948-12-01,1948,12,3.740000009536743,4.681632808239213
1949-01-01,1949,1,2.7100000381469727,3.883714142694289
1949-02-01,1949,2,4.929999828338623,7.232511787928895
1949-03-01,1949,3,18.600000381469727,18.741525331412962
1949-04-01,1949,4,20.510000228881836,21.924128100843273
1949-05-01,1949,5,16.3799991607666,15.696325439355668
1949-06-01,1949,6,5.059999942779541,5.1928230249801235
1949-07-01,1949,7,3.4800000190734863,3.6297503912822195
1949-08-01,1949,8,3.890000104904175,4.116285246332347
1949-09-01,1949,9,3.140000104904175,3.3696322913817713
1949-10-01,1949,10,2.4600000381469727,2.4599041748353896
1949-11-01,1949,11,2.5,2.8655181712901667
1949-12-01,1949,12,2.4600000381469727,3.0793627961207193
1950-01-01,1950,1,10.869999885559082,17.141523561552436
1950-02-01,1950,2,22.770000457763672,23.268710596454966
1950-03-01,1950,3,18.010000228881836,18.22471037249549
1950-04-01,1950,4,24.989999771118164,25.901400328016777
1950-05-01,1950,5,20.979999542236328,20.455102417769247
1950-06-01,1950,6,7.949999809265137,8.135088379244742
1950-07-01,1950,7,3.740000009536743,3.9009386274732756
1950-08-01,1950,8,3.740000009536743,3.957559497525558
1950-09-01,1950,9,3.2699999809265137,3.5091392230650964
1950-10-01,1950,10,7.820000171661377,7.973546505513314
1950-11-01,1950,11,28.110000610351562,36.55000148711886
1950-12-01,1950,12,37.040000915527344,49.98831788974318
1951-01-01,1951,1,25.850000381469727,26.812376246188382
1951-02-01,1951,2,27.850000381469727,27.872345269403684
1951-03-01,1951,3,18.219999313354492,18.415275201162206
1951-04-01,1951,4,18.010000228881836,19.389148322647493
1951-05-01,1951,5,15.760000228881836,15.44198720827277
1951-06-01,1951,6,5.46999979019165,5.613585213113749
1951-07-01,1951,7,3.5899999141693115,3.7444837706146075
1951-08-01,1951,8,3.549999952316284,3.756506949646991
1951-09-01,1951,9,2.4100000858306885,2.58624644590442
1951-10-01,1951,10,3.3299999237060547,3.32987015752097
1951-11-01,1951,11,6.110000133514404,6.97792565340617
1951-12-01,1951,12,27.68000030517578,44.57575427833838
1952-01-01,1952,1,25.59000015258789,26.53824168430537
1952-02-01,1952,2,36.459999084472656,37.23502612210478
1952-03-01,1952,3,24.139999389648438,24.31510223432393
1952-04-01,1952,4,37.720001220703125,39.34176664978527
1952-05-01,1952,5,44.45000076293945,44.41445786094867
1952-06-01,1952,6,20.420000076293945,20.191031352975557
1952-07-01,1952,7,7.730000019073486,8.048137313821348
1952-08-01,1952,8,4.099999904632568,4.33850094145918
1952-09-01,1952,9,3.2300000190734863,3.4662140133163812
1952-10-01,1952,10,2.930000066757202,2.92988588809664
1952-11-01,1952,11,2.4800000190734863,2.842594047782014
1952-12-01,1952,12,10.640000343322754,17.280782799616578
1953-01-01,1953,1,52.400001525878906,56.43404290859447
1953-02-01,1953,2,11.239999771118164,14.268040265565354
1953-03-01,1953,3,16.059999465942383,16.391621666253663
1953-04-01,1953,4,25.420000076293945,26.238911538181057
1953-05-01,1953,5,25.670000076293945,24.315321096278417
1953-06-01,1953,6,20.1200008392334,19.88371509897005
1953-07-01,1953,7,7.090000152587891,7.386230004407266
1953-08-01,1953,8,4.210000038146973,4.4548998911941915
1953-09-01,1953,9,3.5,3.755959434974642
1953-10-01,1953,10,3.5199999809265137,3.5198628106624033
1953-11-01,1953,11,6.900000095367432,7.80460759440604
1953-12-01,1953,12,5.570000171661377,6.972378470335339
1954-01-01,1954,1,15.609999656677246,21.511385415554457
1954-02-01,1954,2,23.149999618530273,23.70181707224749
1954-03-01,1954,3,27.34000015258789,27.903975482671704
1954-04-01,1954,4,39.0,40.72553993389201
1954-05-01,1954,5,18.280000686645508,17.82868029263319
1954-06-01,1954,6,7.159999847412109,7.335935188416147
1954-07-01,1954,7,4.610000133514404,4.8083763496329
1954-08-01,1954,8,4.360000133514404,4.613625640000981
1954-09-01,1954,9,4.099999904632568,4.399838092914236
1954-10-01,1954,10,3.4000000953674316,3.3998676013578906
1954-11-01,1954,11,5.190000057220459,5.948815789184892
1954-12-01,1954,12,7.820000171661377,9.913070044684407
1955-01-01,1955,1,7.329999923706055,12.829690059926067
1955-02-01,1955,2,5.210000038146973,7.64328357060133
1955-03-01,1955,3,7.519999980926514,7.618620123229004
1955-04-01,1955,4,10.4399995803833,10.463011742501381
1955-05-01,1955,5,17.299999237060547,16.69455657531792
1955-06-01,1955,6,6.190000057220459,6.349562133097673
1955-07-01,1955,7,3.950000047683716,4.1199753276041555
1955-08-01,1955,8,4.059999942779541,4.296174142387402
1955-09-01,1955,9,3.6700000762939453,3.938391832261114
1955-10-01,1955,10,2.7799999713897705,2.779891638056711
1955-11-01,1955,11,3.369999885559082,3.862718363726133
1955-12-01,1955,12,68.01000213623047,76.64448611811751
1956-01-01,1956,1,56.2599983215332,60.873350860677995
1956-02-01,1956,2,34.5,35.19865197916846
1956-03-01,1956,3,18.600000381469727,18.741525331412962
1956-04-01,1956,4,19.1200008392334,20.92022211758011
1956-05-01,1956,5,28.65999984741211,27.52781751948437
1956-06-01,1956,6,13.539999961853027,13.24366306007225
1956-07-01,1956,7,5.699999809265137,5.945280581779161
1956-08-01,1956,8,4.360000133514404,4.613625640000981
1956-09-01,1956,9,4.039999961853027,4.335450278291163
1956-10-01,1956,10,4.909999847412109,4.909808510486115
1956-11-01,1956,11,3.180000066757202,3.6449391903986825
1956-12-01,1956,12,2.5199999809265137,3.1544691329904797
1957-01-01,1957,1,3.4800000190734863,4.987204834097907
1957-02-01,1957,2,22.709999084472656,23.19764673816064
1957-03-01,1957,3,24.440000534057617,24.681833202122277
1957-04-01,1957,4,13.260000228881836,14.137133282711424
1957-05-01,1957,5,26.209999084472656,24.83800685468304
1957-06-01,1957,6,7.800000190734863,7.985307563589045
1957-07-01,1957,7,4.760000228881836,4.964831206491569
1957-08-01,1957,8,4.639999866485596,4.909913233503425
1957-09-01,1957,9,4.269999980926514,4.582270490200708
1957-10-01,1957,10,5.849999904632568,5.851997284744873
1957-11-01,1957,11,7.28000020980835,8.196091141254948
1957-12-01,1957,12,14.84000015258789,31.04853344194778
1958-01-01,1958,1,19.690000534057617,20.249914438164655
