Date,Year,Month,HistAvgFlow,adjusted_historical
1936-11-01,1936,11,10.699999809265137,12.013051366217859
1936-12-01,1936,12,11.710000038146973,15.791967562618888
1937-01-01,1937,1,16.690000534057617,21.514929092150364
1937-02-01,1937,2,40.54999923706055,42.46062330030831
1937-03-01,1937,3,81.12999725341797,83.50282948184633
1937-04-01,1937,4,124.43000030517578,125.13260657409361
1937-05-01,1937,5,144.66000366210938,142.49921872036035
1937-06-01,1937,6,57.540000915527344,57.74464393478271
1937-07-01,1937,7,19.59000015258789,20.131084109065974
1937-08-01,1937,8,9.5600004196167,9.958864217616222
1937-09-01,1937,9,6.960000038146973,7.294128608643291
1937-10-01,1937,10,11.550000190734863,12.53642907100675
1937-11-01,1937,11,56.459999084472656,80.37432231524606
1937-12-01,1937,12,212.60000610351562,225.12238526159095
1938-01-01,1938,1,66.2300033569336,71.60113294572845
1938-02-01,1938,2,148.52000427246094,157.15873546788063
1938-03-01,1938,3,277.7300109863281,286.5405026700147
1938-04-01,1938,4,318.8699951171875,329.6436134101287
1938-05-01,1938,5,376.1099853515625,366.2129891492626
1938-06-01,1938,6,159.75999450683594,158.64158060262548
1938-07-01,1938,7,37.83000183105469,37.789872229912156
1938-08-01,1938,8,17.360000610351562,17.470001378387913
1938-09-01,1938,9,13.930000305175781,14.08063779700869
1938-10-01,1938,10,12.829999923706055,14.746840684905674
1938-11-01,1938,11,16.059999465942383,21.054399266217736
1938-12-01,1938,12,18.149999618530273,28.578200871259156
1939-01-01,1939,1,19.959999084472656,25.452018166263176
1939-02-01,1939,2,19.889999389648438,22.54382121826933
1939-03-01,1939,3,47.689998626708984,53.59932798050626
1939-04-01,1939,4,55.869998931884766,58.07570964255265
1939-05-01,1939,5,31.059999465942383,31.723926671075557
1939-06-01,1939,6,16.93000030517578,17.43040429892096
1939-07-01,1939,7,12.380000114440918,12.904474810726805
1939-08-01,1939,8,7.059999942779541,7.424290578249935
1939-09-01,1939,9,4.820000171661377,5.153454514281945
1939-10-01,1939,10,10.109999656677246,11.00191365813666
1939-11-01,1939,11,9.579999923706055,10.792712438957007
1939-12-01,1939,12,21.59000015258789,32.09888605639148
1940-01-01,1940,1,118.19999694824219,126.08994358205518
1940-02-01,1940,2,222.4499969482422,230.98982605744754
1940-03-01,1940,3,312.4100036621094,323.7525875193399
1940-04-01,1940,4,208.5,221.68179463451307
1940-05-01,1940,5,102.04000091552734,102.66507088234887
1940-06-01,1940,6,37.59000015258789,38.76629626385333
1940-07-01,1940,7,17.079999923706055,17.7282103346946
1940-08-01,1940,8,11.09000015258789,11.545216261098535
1940-09-01,1940,9,9.989999771118164,10.613826067983904
1940-10-01,1940,10,15.289999961853027,17.007474485959772
1940-11-01,1940,11,24.93000030517578,31.21624867136024
1940-12-01,1940,12,119.41000366210938,136.10610351366807
1941-01-01,1941,1,125.6500015258789,131.54982542478214
1941-02-01,1941,2,217.4199981689453,225.99831866268636
